iter	Passed	Remaining
139	1264	7769
140	1273	7760
141	1281	7745
142	1291	7738
143	1299	7724
144	1307	7712
145	1316	7697
146	1325	7688
147	1333	7678
148	1341	7662
149	1349	7648
150	1358	7636
151	1366	7623
152	1374	7607
153	1383	7598
154	1391	7585
155	1400	7577
156	1408	7560
157	1416	7551
158	1425	7538
159	1434	7528
160	1441	7511
161	1449	7500
162	1457	7485
163	1466	7475
164	1473	7459
165	1482	7449
166	1491	7437
167	1499	7426
168	1507	7412
169	1515	7401
170	1523	7387
171	1532	7375
172	1539	7357
173	1547	7344
174	1555	7330
175	1563	7319
176	1571	7307
177	1581	7301
178	1589	7290
179	1598	7281
180	1606	7267
181	1615	7259
182	1623	7247
183	1632	7239
184	1639	7222
185	1648	7215
186	1656	7203
187	1665	7194
188	1673	7181
189	1682	7173
190	1690	7159
191	1698	7149
192	1706	7133
193	1715	7126
194	1723	7114
195	1731	7103
196	1739	7089
197	1746	7076
198	1754	7060
199	1762	7050
200	1769	7034
201	1778	7024
202	1786	7012
203	1793	6998
204	1801	6986
205	1809	6973
206	1816	6959
207	1823	6944
208	1832	6934
209	1840	6923
210	1848	6911
211	1855	6897
212	1863	6885
213	1871	6872
214	1891	6907
215	1908	6926
216	1921	6934
217	1936	6944
218	1947	6945
219	1955	6934
220	1964	6923
221	1972	6912
222	1979	6897
223	1990	6896
224	1999	6887
225	2007	6875
226	2015	6864
227	2024	6855
228	2032	6844
229	2041	6833
230	2048	6819
231	2056	6808
232	2064	6797
233	2072	6784
234	2080	6772
235	2088	6760
236	2096	6749
237	2105	6740
238	2112	6726
239	2120	6715
240	2128	6703
241	2136	6692
242	2144	6680
243	2152	6669
244	2160	6658
245	2168	6647
246	2178	6640
247	2186	6629
248	2194	6618
249	2202	6606
250	2210	6596
251	2217	6583
252	2225	6570
253	2232	6557
254	2243	6553
255	2250	6541
256	2258	6529
257	2266	6517
258	2273	6504
259	2281	6492
260	2288	6480
261	2296	6467
262	2303	6455
263	2311	6443
264	2318	6431
265	2326	6420
266	2334	6409
267	2342	6399
268	2351	6388
269	2358	6377
270	2366	6364
271	2374	6354
272	2382	6344
273	2392	6338
274	2400	6328
275	2408	6318
276	2416	6307
277	2424	6297
278	2432	6285
279	2440	6275
280	2448	6264
281	2455	6252
282	2464	6244
283	2472	6232
284	2480	6223
285	2488	6211
286	2495	6200
287	2503	6189
288	2511	6178
289	2519	6167
290	2526	6156
291	2534	6146
292	2542	6134
293	2550	6123
294	2557	6112
295	2565	6100
296	2572	6089
297	2580	6079
298	2588	6068
299	2596	6058
300	2604	6048
301	2612	6038
302	2619	6026
303	2627	6015
304	2636	6006
305	2643	5994
306	2652	5986
307	2660	5976
308	2668	5967
309	2675	5955
310	2683	5945
311	2691	5935
312	2699	5924
313	2707	5914
314	2714	5903
315	2722	5892
316	2730	5883
317	2738	5872
318	2746	5863
319	2753	5852
320	2762	5842
321	2770	5833
322	2778	5824
323	2786	5813
324	2794	5803
325	2802	5794
326	2811	5785
327	2818	5774
328	2826	5764
329	2834	5753
330	2841	5742
331	2849	5732
332	2857	5723
333	2864	5711
334	2872	5702
335	2880	5692
336	2888	5682
337	2895	5671
338	2903	5661
339	2912	5653
340	2919	5642
341	2927	5632
342	2935	5623
343	2943	5613
344	2951	5602
345	2959	5593
346	2967	5584
347	2975	5575
348	2983	5564
349	2990	5554
350	2999	5546
351	3007	5536
352	3015	5527
353	3022	5516
354	3030	5506
355	3038	5495
356	3045	5486
357	3053	5476
358	3061	5466
359	3068	5455
360	3076	5445
361	3085	5438
362	3096	5433
363	3104	5423
364	3111	5412
365	3118	5402
366	3127	5395
367	3137	5388
368	3151	5388
369	3167	5393
370	3186	5403
371	3212	5422
372	3228	5427
373	3250	5440
374	3267	5446
375	3276	5437
376	3286	5430
377	3298	5428
378	3313	5429
379	3325	5426
380	3334	5417
381	3345	5412
382	3359	5412
383	3369	5404
384	3379	5398
385	3389	5391
386	3397	5380
387	3404	5370
388	3413	5361
389	3420	5350
390	3428	5339
391	3435	5329
392	3443	5318
393	3451	5308
394	3458	5297
395	3466	5287
396	3473	5276
397	3482	5267
398	3490	5258
399	3498	5247
400	3506	5237
401	3514	5227
402	3521	5216
403	3528	5205
404	3536	5196
405	3544	5185
406	3551	5175
407	3559	5165
408	3567	5154
409	3575	5145
410	3583	5134
411	3591	5125
412	3599	5115
413	3606	5104
414	3614	5094
415	3622	5085
416	3631	5076
417	3638	5065
418	3645	5055
419	3654	5046
420	3661	5035
421	3669	5025
422	3677	5016
423	3686	5007
424	3693	4997
425	3701	4987
426	3709	4977
427	3716	4967
428	3724	4957
429	3732	4947
430	3739	4937
431	3747	4927
432	3755	4917
433	3762	4907
434	3770	4896
435	3777	4886
436	3786	4878
437	3793	4867
438	3801	4857
439	3809	4848
440	3817	4839
441	3825	4828
442	3833	4820
443	3842	4811
444	3849	4800
445	3857	4791
446	3865	4781
447	3872	4771
448	3880	4761
449	3888	4752
450	3896	4743
451	3903	4732
452	3912	4723
453	3919	4713
454	3926	4703
455	3934	4693
456	3942	4684
457	3950	4674
458	3957	4664
459	3965	4654
460	3973	4646
461	3981	4636
462	3989	4627
463	3997	4618
464	4006	4609
465	4013	4598
466	4021	4590
467	4028	4578
468	4034	4568
469	4043	4559
470	4050	4549
471	4058	4539
472	4065	4530
473	4073	4520
474	4080	4510
475	4088	4501
476	4096	4491
477	4103	4481
478	4111	4471
479	4119	4462
480	4126	4452
481	4134	4443
482	4142	4434
483	4150	4425
484	4158	4415
485	4165	4405
486	4173	4396
487	4180	4385
488	4187	4376
489	4195	4366
490	4205	4359
491	4212	4349
492	4220	4340
493	4228	4331
494	4236	4321
495	4244	4312
496	4252	4303
497	4260	4295
498	4268	4285
499	4276	4276
500	4284	4266
501	4291	4257
502	4299	4248
503	4306	4238
504	4315	4229
505	4322	4219
506	4330	4210
507	4338	4202
508	4346	4192
509	4353	4182
510	4360	4173
511	4368	4163
512	4377	4155
513	4386	4147
514	4393	4137
515	4401	4128
516	4412	4121
517	4427	4119
518	4435	4111
519	4443	4102
520	4451	4092
521	4458	4082
522	4466	4073
523	4473	4063
524	4480	4054
525	4487	4043
526	4496	4035
527	4504	4026
528	4512	4017
529	4520	4008
530	4528	3999
531	4535	3990
532	4543	3980
533	4551	3972
534	4559	3962
535	4566	3952
536	4573	3943
537	4580	3933
538	4589	3924
539	4596	3915
540	4604	3906
541	4612	3897
542	4619	3887
543	4629	3880
544	4640	3874
545	4654	3869
546	4668	3866
547	4681	3861
548	4693	3855
549	4707	3851
550	4722	3848
551	4737	3845
552	4750	3839
553	4763	3835
554	4776	3830
555	4791	3826
556	4804	3821
557	4820	3818
558	4835	3814
559	4850	3811
560	4866	3807
561	4878	3802
562	4892	3797
563	4904	3791
564	4918	3786
565	4933	3782
566	4947	3777
567	4961	3773
568	4974	3767
569	4987	3762
570	5006	3761
571	5021	3757
572	5035	3752
573	5048	3746
574	5062	3742
575	5074	3735
576	5086	3729
577	5098	3722
578	5112	3717
579	5125	3711
580	5137	3704
581	5150	3699
582	5164	3693
583	5178	3689
584	5193	3684
585	5205	3677
586	5215	3669
587	5224	3660
588	5231	3650
589	5244	3644
590	5255	3636
591	5264	3627
592	5271	3618
593	5279	3608
594	5289	3600
595	5298	3591
596	5313	3586
597	5326	3580
598	5340	3575
599	5352	3568
600	5368	3564
601	5380	3557
602	5393	3551
603	5407	3545
604	5421	3539
605	5434	3533
606	5446	3526
607	5461	3521
608	5478	3517
609	5495	3513
610	5510	3508
611	5525	3502
612	5538	3496
613	5552	3490
614	5566	3484
615	5577	3476
616	5585	3467
617	5594	3458
618	5604	3449
619	5613	3440
620	5623	3431
621	5630	3421
622	5640	3413
623	5648	3403
624	5659	3395
625	5671	3388
626	5679	3378
627	5687	3369
628	5694	3358
629	5702	3349
630	5709	3339
631	5719	3330
632	5726	3320
633	5734	3310
634	5742	3300
635	5750	3291
636	5758	3281
637	5765	3271
638	5774	3262
639	5786	3255
640	5795	3245
641	5805	3237
642	5815	3228
643	5826	3221
644	5836	3212
645	5844	3202
646	5852	3192
647	5861	3184
648	5870	3174
649	5878	3165
650	5886	3155
651	5894	3146
652	5903	3136
653	5912	3128
654	5920	3118
655	5929	3109
656	5937	3099
657	5945	3090
658	5954	3080
659	5963	3071
660	5971	3062
661	5979	3052
662	5988	3043
663	5998	3035
664	6006	3025
665	6020	3019
666	6030	3010
667	6037	3000
668	6045	2991
669	6053	2981
670	6064	2973
671	6077	2966
672	6085	2956
673	6093	2947
674	6100	2937
675	6111	2929
676	6124	2922
677	6132	2912
678	6140	2902
679	6148	2893
680	6155	2883
681	6163	2874
682	6173	2865
683	6183	2856
684	6191	2847
685	6199	2837
686	6207	2828
687	6215	2818
688	6223	2809
689	6230	2799
690	6238	2789
691	6246	2780
692	6254	2770
693	6267	2763
694	6277	2754
695	6285	2745
696	6293	2736
697	6300	2726
698	6314	2718
699	6329	2712
700	6338	2703
701	6345	2693
702	6359	2686
703	6375	2680
704	6390	2674
705	6405	2667
706	6422	2661
707	6436	2654
708	6451	2647
709	6470	2642
710	6486	2636
711	6500	2629
712	6512	2621
713	6527	2614
714	6539	2606
715	6554	2599
716	6571	2593
717	6583	2585
718	6591	2575
719	6598	2566
720	6607	2557
721	6619	2548
722	6626	2538
723	6634	2529
724	6641	2519
725	6649	2509
726	6661	2501
727	6671	2492
728	6678	2482
729	6686	2473
730	6693	2463
731	6700	2453
732	6711	2444
733	6721	2435
734	6729	2426
735	6736	2416
736	6744	2406
737	6753	2397
738	6764	2389
739	6773	2380
740	6781	2370
741	6789	2360
742	6796	2350
743	6807	2342
744	6818	2333
745	6825	2323
746	6832	2314
747	6840	2304
748	6847	2294
749	6859	2286
750	6869	2277
751	6876	2267
752	6883	2258
753	6892	2248
754	6900	2239
755	6913	2231
756	6925	2223
757	6932	2213
758	6940	2203
759	6952	2195
760	6962	2186
761	6975	2178
762	6987	2170
763	6996	2161
764	7010	2153
765	7025	2146
766	7036	2137
767	7043	2127
768	7056	2119
769	7066	2110
770	7074	2101
771	7084	2092
772	7092	2082
773	7105	2074
774	7118	2066
775	7126	2057
776	7136	2048
777	7144	2038
778	7159	2030
779	7170	2022
780	7178	2012
781	7187	2003
782	7198	1994
783	7211	1986
784	7221	1977
785	7231	1968
786	7239	1959
787	7251	1950
788	7263	1942
789	7271	1932
790	7281	1923
791	7288	1914
792	7300	1905
793	7308	1896
794	7317	1886
795	7325	1877
796	7335	1868
797	7344	1859
798	7352	1849
799	7361	1840
800	7370	1831
801	7379	1821
802	7388	1812
803	7398	1803
804	7407	1794
805	7417	1785
806	7427	1776
807	7440	1767
808	7449	1758
809	7458	1749
810	7468	1740
811	7477	1731
812	7485	1721
813	7494	1712
814	7503	1703
815	7513	1694
816	7521	1684
817	7530	1675
818	7538	1666
819	7548	1656
820	7558	1648
821	7571	1639
822	7583	1630
823	7593	1621
824	7601	1612
825	7611	1603
826	7618	1593
827	7628	1584
828	7636	1575
829	7645	1566
830	7653	1556
831	7663	1547
832	7673	1538
833	7682	1529
834	7692	1520
835	7700	1510
836	7710	1501
837	7717	1492
838	7727	1482
839	7739	1474
840	7747	1464
841	7757	1455
842	7765	1446
843	7774	1437
844	7785	1428
845	7794	1418
846	7803	1409
847	7812	1400
848	7820	1390
849	7828	1381
850	7838	1372
851	7846	1362
852	7854	1353
853	7862	1344
854	7869	1334
855	7876	1325
856	7884	1315
857	7891	1306
858	7899	1296
859	7906	1287
860	7914	1277
861	7923	1268
862	7930	1259
863	7939	1249
864	7948	1240
865	7958	1231
866	7968	1222
867	7977	1213
868	7987	1204
869	7994	1194
870	8003	1185
871	8010	1175
872	8018	1166
873	8026	1157
874	8033	1147
875	8040	1138
876	8048	1128
877	8056	1119
878	8064	1110
879	8072	1100
880	8080	1091
881	8088	1082
882	8095	1072
883	8104	1063
884	8111	1054
885	8120	1044
886	8127	1035
887	8135	1026
888	8143	1016
889	8153	1007
890	8160	998
891	8168	988
892	8175	979
893	8183	970
894	8191	960
895	8198	951
896	8211	942
897	8218	933
898	8226	924
899	8233	914
900	8240	905
901	8248	896
902	8256	886
903	8264	877
904	8271	868
905	8279	859
906	8286	849
907	8294	840
908	8301	831
909	8309	821
910	8317	812
911	8324	803
912	8333	794
913	8340	784
914	8347	775
915	8355	766
916	8363	757
917	8370	747
918	8378	738
919	8386	729
920	8393	719
921	8401	710
922	8408	701
923	8416	692
924	8424	683
925	8431	673
926	8438	664
927	8445	655
928	8453	646
929	8460	636
930	8468	627
931	8475	618
932	8483	609
933	8490	599
934	8497	590
935	8505	581
936	8512	572
937	8520	563
938	8527	553
939	8534	544
940	8542	535
941	8550	526
942	8559	517
943	8567	508
944	8575	499
945	8583	489
946	8591	480
947	8599	471
948	8607	462
949	8614	453
950	8621	444
951	8629	435
952	8636	425
953	8644	416
954	8651	407
955	8659	398
956	8667	389
957	8675	380
958	8682	371
959	8689	362
960	8696	352
961	8705	343
962	8712	334
963	8719	325
964	8727	316
965	8735	307
966	8742	298
967	8751	289
968	8758	280
969	8766	271
970	8773	262
971	8781	252
972	8788	243
973	8795	234
974	8803	225
975	8811	216
976	8818	207
977	8826	198
978	8833	189
979	8840	180
980	8847	171
981	8855	162
982	8862	153
983	8870	144
984	8877	135
985	8885	126
986	8893	117
987	8900	108
988	8907	99
989	8914	90
990	8922	81
991	8930	72
992	8937	63
993	8944	53
994	8952	44
995	8960	35
996	8968	26
997	8975	17
998	8983	8
999	8991	0
