iter	Logloss
0	0.6576563764
1	0.6251752995
2	0.5991795055
3	0.5755778632
4	0.559850515
5	0.5404339211
6	0.5269255866
7	0.5173782993
8	0.5063838129
9	0.4962864993
10	0.4838131557
11	0.4746400488
12	0.4674693946
13	0.4600879804
14	0.4548921501
15	0.4496498398
16	0.4448732177
17	0.4378043407
18	0.4317987788
19	0.4260245275
20	0.4217327941
21	0.4164985151
22	0.411156183
23	0.408482679
24	0.4047813831
25	0.4011584649
26	0.3976048068
27	0.3949546453
28	0.3912395868
29	0.3881924891
30	0.3857704798
31	0.3836001211
32	0.3810843711
33	0.3789179022
34	0.3761953608
35	0.3737326476
36	0.3710748572
37	0.3684329152
38	0.3672019313
39	0.3646532412
40	0.362890756
41	0.3612369235
42	0.3594893504
43	0.3570078177
44	0.3554701511
45	0.3515339443
46	0.3503773298
47	0.3492653625
48	0.3473618038
49	0.3447409816
50	0.3424126556
51	0.341451524
52	0.3401496041
53	0.3389806442
54	0.3382766723
55	0.3373785228
56	0.3355841172
57	0.3341373552
58	0.3328813622
59	0.331346763
60	0.3301215845
61	0.328789088
62	0.3278444602
63	0.3264120998
64	0.3259254898
65	0.324582396
66	0.3232517622
67	0.3227401946
68	0.3219594481
69	0.3210707575
70	0.3203867389
71	0.3190103117
72	0.3177926263
73	0.3165605535
74	0.3161547513
75	0.3155780666
76	0.3142756922
77	0.3125244048
78	0.311772615
79	0.3106661298
80	0.3101293978
81	0.3090610225
82	0.308492753
83	0.3074344484
84	0.3069962706
85	0.3057348454
86	0.3055036145
87	0.3039329334
88	0.3026636051
89	0.3017125106
90	0.3007915397
91	0.2991846563
92	0.2982231141
93	0.2977258075
94	0.2967473119
95	0.2959835155
96	0.2952501009
97	0.2934509477
98	0.293038957
99	0.2916812852
100	0.2913355276
101	0.2906407078
102	0.2894752976
103	0.2887740961
104	0.2883606556
105	0.2879553514
106	0.2871145941
107	0.2853849952
108	0.2849950026
109	0.2843158788
110	0.2832710981
111	0.2823073727
112	0.2807915436
113	0.2805284833
114	0.2801104475
115	0.2798324221
116	0.2789297272
117	0.278179088
118	0.2778063944
119	0.2769309997
120	0.2766085483
121	0.2760692409
122	0.2756525958
123	0.2750594469
124	0.2744263704
125	0.2738597612
126	0.2736237138
127	0.2727727534
128	0.2721027976
129	0.2714104237
130	0.270456595
131	0.2701363261
132	0.2697367508
133	0.2693057566
134	0.2680430851
135	0.267779173
136	0.2669328163
137	0.2665872507
138	0.2658604496
139	0.2655827218
140	0.2651579539
141	0.264283452
142	0.2638769011
143	0.2633877863
144	0.2631721414
145	0.2627245744
146	0.2622644573
147	0.2618137337
148	0.2608906855
149	0.260468599
150	0.2598885366
151	0.2593062753
152	0.2584066916
153	0.2582094719
154	0.2577524542
155	0.2572980957
156	0.2570241792
157	0.2565547973
158	0.2557133364
159	0.2554254251
160	0.2548332131
161	0.2545831936
162	0.2542701826
163	0.2538982552
164	0.2534032941
165	0.2532190969
166	0.253063026
167	0.2526042746
168	0.252390808
169	0.252198934
